Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link,salary_clean,salary_norm,exp_clean,exp_norm,location_clean,loc_mumbai,loc_bengaluru,loc_pune,loc_hyderabad,loc_gurugram,loc_chennai,loc_kolkata,loc_coimbatore,loc_noida,loc_ahmedabad
AX/D365 SCM (Supply Chain Management) Functional Consultant,Wipro,8-13 Yrs,20-35 Lacs PA,"Hybrid - Pune, Bengaluru, Delhi / NCR","AX Certification is a plusGood experience in requirement gathering, workshop, presentat...","d365,supply chain management,scm,dynamics 365 finance & operations,microsoft dynamics,shipping,warehouse management,logistics",1 Day Ago,https://www.naukri.com/job-listings-ax-d365-scm-supply-chain-management-functional-consultant-wipro-pune-bengaluru-delhi-ncr-8-to-13-years-181224015727,27.5,0.44,10.5,0.42,pune,0,0,1,0,0,0,0,0,0,0
Senior Software Engineer - Middleware :middleware development,Capgemini,5-7 Yrs,10-20 Lacs PA,"Hybrid - Pune, Bengaluru","Working experience in middleware development and Prior experience in Qualcomm SOC, Expe...","c/c++,linux system programming,embedded development,automotive,system programming,git,linux,gerrit",1 Day Ago,https://www.naukri.com/job-listings-senior-software-engineer-middleware-middleware-development-capgemini-pune-bengaluru-5-to-7-years-181224011389,15.0,0.24,6.0,0.24,pune,0,0,1,0,0,0,0,0,0,0
BSP Developer : 9to 12Years in Pune / Bangalore,Capgemini,9-12 Yrs,17-32 Lacs PA,"Pune, Bengaluru","Experience working with different embedded microprocessor based on Qualcomm, TI, NXP, N...","bsp firmware engineer,linux kernel programming,imx chipset,qualcomm chipset,linux device drivers,embedded c++,bsp developer,embedded c",1 Day Ago,https://www.naukri.com/job-listings-bsp-developer-9to-12years-in-pune-bangalore-capgemini-pune-bengaluru-9-to-12-years-181224011073,24.5,0.392,10.5,0.42,pune,0,0,1,0,0,0,0,0,0,0
"Security-SOC :C/C++, Linux, Secured boot, Secure logging, OpenSSL, SEL",Capgemini,7-10 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru",Preferred candidate profile . Years experience in Embedded SW Development ( C / C++). ...,"linux,security features,openssl,embedded software development,socs based platform,selinux,secured boot,secure logging",1 Day Ago,https://www.naukri.com/job-listings-security-soc-c-c-linux-secured-boot-secure-logging-openssl-sel-capgemini-pune-bengaluru-7-to-10-years-181224010926,12.218579234972678,0.19549726775956283,8.5,0.34,pune,0,0,1,0,0,0,0,0,0,0
"Audio Technical Lead Engineer : 13+Years in Bangalore, Pune",Capgemini,13-18 Yrs,35-70 Lacs PA,"Hybrid - Pune, Bengaluru",JD: Technical Lead Engineer Audio : Bangalore/ Pune 13+ years of experience in Embedd...,"audio,ivi,embedded sw development,embedded c/c++,audio framework,routing,automotive embedded systems,tdm configuration",1 Day Ago,https://www.naukri.com/job-listings-audio-technical-lead-engineer-13-years-in-bangalore-pune-capgemini-pune-bengaluru-13-to-18-years-181224010734,52.5,0.84,15.5,0.62,pune,0,0,1,0,0,0,0,0,0,0
Audio Lead :Embedded SW development Automotive infotainment Audio expe,Capgemini,13-18 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru","Prior experience in QCOM SOC, hw bring up, device tree, TDM configuration is a plus. Ex...","dsp,audio hal,audio drivers,embedded c/c++,audio frameworks,hal,alsa,audio",1 Day Ago,https://www.naukri.com/job-listings-audio-lead-embedded-sw-development-automotive-infotainment-audio-expe-capgemini-pune-bengaluru-13-to-18-years-181224010573,12.218579234972678,0.19549726775956283,15.5,0.62,pune,0,0,1,0,0,0,0,0,0,0
GN - Strategy - MC - CFO EVERP Platforms Senior Manager,Accenture,4-7 Yrs,Not disclosed,Pune,Digital Finance & Enterprise Operating Model - ConsultantFind endless opportunities to ...,"sap,sap ecc,accounting,treasury,finance,management consulting,accounts receivable,accounts payable",1 Day Ago,https://www.naukri.com/job-listings-gn-strategy-mc-cfo-everp-platforms-senior-manager-accenture-solutions-pvt-ltd-pune-4-to-7-years-181224918840,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Strategy - MC - SC&O - SC Digital Core S4 (SAP TM)- Consultant,Accenture,4-8 Yrs,Not disclosed,Pune,". MBA or Master s degree in Industrial Engineering, Operations Management, or Supply Ch...","sap,sap transportation management,presentation skills,sap tm,tm,warehouse management,sap sd,logistics",2 Days Ago,https://www.naukri.com/job-listings-strategy-mc-sc-o-sc-digital-core-s4-sap-tm-consultant-accenture-solutions-pvt-ltd-pune-4-to-8-years-171224915962,12.218579234972678,0.19549726775956283,6.0,0.24,pune,0,0,1,0,0,0,0,0,0,0
R&R FS-Reg Reporting- Senior Associate,Pricewaterhouse Coopers Private Limited,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Bengaluru","Summary At PwC, our people in data and analytics focus on leveraging data to drive ...","data analysis,automation,data modeling,analytical,consulting,data collection,data analytics,data mining",3 Days Ago,https://www.naukri.com/job-listings-r-r-fs-reg-reporting-senior-associate-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-bengaluru-4-to-6-years-161224501186,12.218579234972678,0.19549726775956283,5.0,0.2,kolkata,0,0,0,0,0,0,1,0,0,0
S&CGN - Tech Strategy & Advisory -Enterprise Architecture-Manager,Accenture,10-15 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","Masters or bachelors degree in business, computer science, computer engineering, electr...","risk management,soa,paas,saas,iaas,budgeting,s,management",3 Days Ago,https://www.naukri.com/job-listings-s-cgn-tech-strategy-advisory-enterprise-architecture-manager-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-10-to-15-years-161224902128,12.218579234972678,0.19549726775956283,12.5,0.5,mumbai,1,0,0,0,0,0,0,0,0,0
