Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
TR-Senior,EY,3-6 Yrs,Not disclosed,Bengaluru,Conduct performance reviews and contribute to performance feedback for staff. . . To qu...,"Unix, Data analysis, Automation, Assurance, French, SAP, Consulting, German",1 Day Ago,https://www.naukri.com/job-listings-tr-senior-ernst-young-bengaluru-3-to-6-years-181224500344
SAP TM FUNCTIONAL-Senior,EY,4-7 Yrs,Not disclosed,Bengaluru,". Lead design workshops with the client and responsible for requirement gathering, solu...","Order management, Supply chain, Business process, Application support, SAP, SAP MM, Debugging, Consulting",1 Day Ago,https://www.naukri.com/job-listings-sap-tm-functional-senior-ernst-young-bengaluru-4-to-7-years-181224500308
SAP HANA ABAP-Senior,EY,3-5 Yrs,Not disclosed,Bengaluru,. Real time knowledge and experience in implementation and migration projects . Must ha...,"Business communication, Backend, Assurance, Data migration, Performance management, Consulting, HTML, Adobe",1 Day Ago,https://www.naukri.com/job-listings-sap-hana-abap-senior-ernst-young-bengaluru-3-to-5-years-181224500304
GMS-Staff-TPRaaS,EY,1-4 Yrs,Not disclosed,Bengaluru,"IT), BE, MCA, from a tier1 or tier 2 college . . To qualify for the role, you must have...","Computer science, Automation, Assurance, Networking, Cisa, Information security, Analytical, Consulting",1 Day Ago,https://www.naukri.com/job-listings-gms-staff-tpraas-ernst-young-bengaluru-1-to-4-years-181224500269
GMS-Senior-Technology Specialist-CrowdStrike TechOps,EY,3-7 Yrs,Not disclosed,Bengaluru,". Good knowledge of SIEM technologies such as Splunk, Azure Sentinel from an Analyst s ...","Symantec, Ccsa, Assurance, SOC, Consulting, Manager Technology, Customer service, Security monitoring",1 Day Ago,https://www.naukri.com/job-listings-gms-senior-technology-specialist-crowdstrike-techops-ernst-young-bengaluru-3-to-7-years-181224500264
GMS-Senior-Technology Specialist - Splunk SOAR TechOps,EY,3-6 Yrs,Not disclosed,Bengaluru,. Should have worked in a security operations center and gained understanding of SIEM s...,"Business process, Symantec, Automation, Network administration, Process improvement, XML, Analytical, Consulting",1 Day Ago,https://www.naukri.com/job-listings-gms-senior-technology-specialist-splunk-soar-techops-ernst-young-bengaluru-3-to-6-years-181224500263
EY GDS Risk Consulting -Regulatory Compliance Leader,EY,15-17 Yrs,Not disclosed,Bengaluru,Science)/Postgraduate in Science (Preferably in Chemistry / Biochemistry) with 15-17+ y...,"Change management, SAP, Project management, Analytical, Consulting, Life sciences, Outsourcing, Risk management",1 Day Ago,https://www.naukri.com/job-listings-ey-gds-risk-consulting-regulatory-compliance-leader-ernst-young-bengaluru-15-to-17-years-181224500233
EY - GDS Consulting - AI and DATA - DG - Staff - STR,EY,1-3 Yrs,Not disclosed,Bengaluru,"At EY, you ll have the chance to build a career as unique as you are, with the global...","Data analysis, Assurance, Team management, Analytical, Consulting, Data quality, Asset management, Analytics",1 Day Ago,https://www.naukri.com/job-listings-ey-gds-consulting-ai-and-data-dg-staff-str-ernst-young-bengaluru-1-to-3-years-181224500219
EY - GDS Consulting - AI and DATA - Data Analyst- Senior Manager,EY,12-14 Yrs,Not disclosed,Bengaluru,"At EY, you ll have the chance to build a career as unique as you are, with the global...","Data analysis, Assurance, Data management, Data modeling, Analytical, Consulting, Data processing, Business intelligence",1 Day Ago,https://www.naukri.com/job-listings-ey-gds-consulting-ai-and-data-data-analyst-senior-manager-ernst-young-bengaluru-12-to-14-years-181224500215
EY - GDS Consulting - AI - DATA - AWS DBX - Senior,EY,1-5 Yrs,Not disclosed,Hyderabad,"Bachelor s degree in Engineering, Computer Science, Data Science, or related fieldExper...","Computer science, Automation, Assurance, Front end, Business analytics, Analytical, Consulting, Troubleshooting",1 Day Ago,https://www.naukri.com/job-listings-ey-gds-consulting-ai-data-aws-dbx-senior-ernst-young-hyderabad-1-to-5-years-181224500210
